Run_Timestamp,AsOfDate,Symbol,Expiry,DTE,Put_Volume,Call_Volume,Volume_PCR,Put_OI,Call_OI,OI_PCR,Total_OI,Impulse_Vol_over_OI,EventScore_OIshare_x_OI_PCR
2026-01-15 16:33:36,2026-01-15,DIA,2026-01-16,1,11561,13761,0.840128,64888,46879,1.384159,111767,0.606959,0.2852999
2026-01-15 16:33:36,2026-01-15,DIA,2026-01-23,8,2925,12239,0.23899,6187,6761,0.915101,12948,0.261162,0.02185112
2026-01-15 16:33:36,2026-01-15,DIA,2026-01-30,15,1587,1789,0.887088,12895,10454,1.233499,23349,0.719164,0.05311401
2026-01-15 16:33:36,2026-01-15,DIA,2026-02-06,22,623,631,0.987322,2006,2117,0.947567,4123,1.041955,0.00720486
2026-01-15 16:33:36,2026-01-15,DIA,2026-02-13,29,836,1013,0.825271,1454,1655,0.87855,3109,0.939356,0.0050372
2026-01-15 16:33:36,2026-01-15,DIA,2026-02-20,36,1249,2022,0.617705,10398,7693,1.351618,18091,0.457012,0.04509398
2026-01-15 16:33:36,2026-01-15,DIA,2026-02-27,43,198,359,0.551532,1246,591,2.108291,1837,0.261601,0.00714236
2026-01-15 16:33:36,2026-01-15,DIA,2026-03-20,64,1398,1518,0.920949,42973,20868,2.059277,63841,0.44722,0.24244682
2026-01-15 16:33:36,2026-01-15,DIA,2026-03-31,75,1275,445,2.865169,26609,9980,2.666232,36589,1.074614,0.17990802
2026-01-15 16:33:36,2026-01-15,DIA,2026-06-18,154,640,562,1.13879,48301,15313,3.154248,63614,0.361034,0.37004163
2026-01-15 16:33:36,2026-01-15,DIA,2026-06-30,166,3718,607,6.125206,61857,10929,5.659896,72786,1.082212,0.75972837
2026-01-15 16:33:36,2026-01-15,DIA,2026-09-30,258,7229,730,9.90274,16882,4922,3.429907,21804,2.887174,0.13791788
2026-01-15 16:33:36,2026-01-15,DIA,2026-12-18,337,619,1441,0.429563,29803,19257,1.547645,49060,0.277559,0.1400235
2026-01-15 16:33:36,2026-01-15,DIA,2026-12-31,350,10,12,0.833333,236,70,3.371429,306,0.247175,0.00190256
2026-01-15 16:33:36,2026-01-15,DIA,2027-01-15,365,1228,448,2.741071,31694,10989,2.884157,42683,0.950389,0.22702615
2026-01-15 16:33:36,2026-01-15,DIA,2027-06-17,518,193,79,2.443038,1291,315,4.098413,1606,0.596094,0.01213845
2026-01-15 16:33:36,2026-01-15,DIA,2027-12-17,701,211,1043,0.202301,3794,5869,0.646447,9663,0.312943,0.01151985
2026-01-15 16:33:36,2026-01-15,DIA,2028-01-21,736,140,595,0.235294,2195,2877,0.762948,5072,0.308401,0.00713635
2026-01-15 16:33:36,2026-01-15,IWM,2026-01-16,1,192624,126454,1.523273,1588414,596689,2.662047,2185103,0.572219,0.58813672
2026-01-15 16:33:36,2026-01-15,IWM,2026-01-20,5,36674,25371,1.445509,33392,10692,3.123083,44084,0.462847,0.01392051
2026-01-15 16:33:36,2026-01-15,IWM,2026-01-21,6,7998,9528,0.839421,6803,4715,1.442842,11518,0.581783,0.0016803
2026-01-15 16:33:36,2026-01-15,IWM,2026-01-22,7,10249,6292,1.628894,5440,4840,1.123967,10280,1.449236,0.00116825
2026-01-15 16:33:36,2026-01-15,IWM,2026-01-23,8,53911,24887,2.166231,100449,49174,2.042726,149623,1.060461,0.03090289
2026-01-15 16:33:36,2026-01-15,IWM,2026-01-26,11,5814,3698,1.572201,7718,2732,2.825037,10450,0.556524,0.00298491
2026-01-15 16:33:36,2026-01-15,IWM,2026-01-30,15,87081,24315,3.58137,185247,93835,1.974178,279082,1.814107,0.05570688
2026-01-15 16:33:36,2026-01-15,IWM,2026-02-06,22,39177,27850,1.406715,53640,44239,1.212505,97879,1.160173,0.01199952
2026-01-15 16:33:36,2026-01-15,IWM,2026-02-13,29,7778,3229,2.408795,15108,12598,1.199238,27706,2.008605,0.00335946
2026-01-15 16:33:36,2026-01-15,IWM,2026-02-20,36,216423,78737,2.748682,1006281,318815,3.156316,1325096,0.870851,0.42288131
2026-01-15 16:33:36,2026-01-15,IWM,2026-02-21,37,0,0,,0,0,,0,,
2026-01-15 16:33:36,2026-01-15,IWM,2026-02-27,43,4841,2285,2.1186,8606,3396,2.534158,12002,0.836017,0.00307523
2026-01-15 16:33:36,2026-01-15,IWM,2026-03-20,64,26591,30179,0.881109,1006282,465428,2.162057,1471710,0.407533,0.32172147
2026-01-15 16:33:36,2026-01-15,IWM,2026-03-31,75,10140,1670,6.071856,33711,48461,0.695632,82172,8.728546,0.00577955
2026-01-15 16:33:36,2026-01-15,IWM,2026-04-17,92,25970,15650,1.659425,147286,100573,1.464469,247859,1.133124,0.0367008
2026-01-15 16:33:36,2026-01-15,IWM,2026-05-15,120,10723,7031,1.525103,100651,49813,2.020577,150464,0.754786,0.03073963
2026-01-15 16:33:36,2026-01-15,IWM,2026-06-18,154,27327,9419,2.901263,916677,371010,2.470761,1287687,1.174239,0.32168567
2026-01-15 16:33:36,2026-01-15,IWM,2026-06-30,166,1634,1281,1.275566,14968,12163,1.230617,27131,1.036526,0.00337582
2026-01-15 16:33:36,2026-01-15,IWM,2026-08-21,218,436,827,0.527207,5444,7958,0.684091,13402,0.770668,0.00092699
2026-01-15 16:33:36,2026-01-15,IWM,2026-09-18,246,4548,3620,1.256354,344256,159552,2.157641,503808,0.582281,0.10990942
2026-01-15 16:33:36,2026-01-15,IWM,2026-09-30,258,1297,944,1.373941,11332,9528,1.189337,20860,1.155216,0.00250848
2026-01-15 16:33:36,2026-01-15,IWM,2026-12-18,337,12393,12462,0.994463,807538,283158,2.851899,1090696,0.348702,0.31450571
2026-01-15 16:33:36,2026-01-15,IWM,2026-12-31,350,62,553,0.112116,2395,1091,2.195234,3486,0.051072,0.00077375
2026-01-15 16:33:36,2026-01-15,IWM,2027-01-15,365,2310,4290,0.538462,194699,77250,2.520375,271949,0.213644,0.06930161
2026-01-15 16:33:36,2026-01-15,IWM,2027-06-17,518,3065,1077,2.845868,126662,34012,3.724039,160674,0.764189,0.06049932
2026-01-15 16:33:36,2026-01-15,IWM,2027-09-17,610,294,343,0.857143,25007,3387,7.38323,28394,0.116093,0.02119647
2026-01-15 16:33:36,2026-01-15,IWM,2027-12-17,701,7600,1669,4.553625,266843,50967,5.235603,317810,0.869742,0.16823832
2026-01-15 16:33:36,2026-01-15,IWM,2028-01-21,736,1617,573,2.82199,50157,9215,5.442973,59372,0.518465,0.03267447
2026-01-15 16:33:36,2026-01-15,KRE,2026-01-16,1,51050,32912,1.551106,348071,212411,1.638667,560482,0.946566,0.52909533
2026-01-15 16:33:36,2026-01-15,KRE,2026-01-23,8,2678,6296,0.425349,6372,5387,1.182848,11759,0.359597,0.00801274
2026-01-15 16:33:36,2026-01-15,KRE,2026-01-30,15,1737,8969,0.193667,6480,32906,0.196925,39386,0.983456,0.00446811
2026-01-15 16:33:36,2026-01-15,KRE,2026-02-06,22,7397,590,12.537288,14411,41477,0.347446,55888,36.084134,0.01118633
2026-01-15 16:33:36,2026-01-15,KRE,2026-02-13,29,32,63,0.507937,103,325,0.316923,428,1.602714,7.814e-05
2026-01-15 16:33:36,2026-01-15,KRE,2026-02-20,36,4762,2702,1.762398,102461,116722,0.877821,219183,2.007696,0.11083946
2026-01-15 16:33:36,2026-01-15,KRE,2026-02-27,43,57,1,57.0,813,8,101.625,821,0.560886,0.04806459
2026-01-15 16:33:36,2026-01-15,KRE,2026-03-20,64,11372,15787,0.72034,70035,62255,1.12497,132290,0.640319,0.08573329
2026-01-15 16:33:36,2026-01-15,KRE,2026-03-31,75,1028,154,6.675325,16243,2341,6.938488,18584,0.962072,0.07428234
2026-01-15 16:33:36,2026-01-15,KRE,2026-04-17,92,3023,4019,0.752177,20895,18434,1.133503,39329,0.663586,0.02568131
2026-01-15 16:33:36,2026-01-15,KRE,2026-05-15,120,5636,9322,0.604591,26956,31045,0.868288,58001,0.696302,0.02901221
2026-01-15 16:33:36,2026-01-15,KRE,2026-06-18,154,3349,2042,1.640059,124471,82142,1.515315,206613,1.082322,0.18036079
2026-01-15 16:33:36,2026-01-15,KRE,2026-06-30,166,191,2329,0.082009,2155,4139,0.520657,6294,0.157511,0.00188782
2026-01-15 16:33:36,2026-01-15,KRE,2026-09-18,246,48,219,0.219178,22251,9614,2.314437,31865,0.0947,0.04248551
2026-01-15 16:33:36,2026-01-15,KRE,2026-09-30,258,98,57,1.719298,197,355,0.55493,552,3.098225,0.00017647
2026-01-15 16:33:36,2026-01-15,KRE,2026-12-18,337,1779,2092,0.850382,85964,12341,6.965724,98305,0.122081,0.39447858
2026-01-15 16:33:36,2026-01-15,KRE,2026-12-31,350,1,21,0.047619,6,194,0.030928,200,1.539673,3.56e-06
2026-01-15 16:33:36,2026-01-15,KRE,2027-01-15,365,1636,477,3.429769,164666,11144,14.776202,175810,0.232114,1.49653868
2026-01-15 16:33:36,2026-01-15,KRE,2027-06-17,518,7271,107,67.953271,22911,1610,14.230435,24521,4.775207,0.20101937
2026-01-15 16:33:36,2026-01-15,KRE,2027-12-17,701,4302,896,4.801339,38996,2530,15.413439,41526,0.311503,0.36872382
2026-01-15 16:33:36,2026-01-15,KRE,2028-01-21,736,4834,64,75.53125,12697,741,17.134953,13438,4.408022,0.13264751
2026-01-15 16:33:36,2026-01-15,KRE,2028-12-15,1065,2,0,,598,2,299.0,600,,0.10334846
2026-01-15 16:33:36,2026-01-15,QQQ,2026-01-16,1,715440,571975,1.250824,1286922,1004124,1.281637,2291046,0.975958,0.32798364
2026-01-15 16:33:36,2026-01-15,QQQ,2026-01-20,5,159836,91504,1.746765,48187,60604,0.795113,108791,2.196876,0.00966218
2026-01-15 16:33:36,2026-01-15,QQQ,2026-01-21,6,38198,32372,1.17997,33104,35074,0.943833,68178,1.250189,0.00718775
2026-01-15 16:33:36,2026-01-15,QQQ,2026-01-22,7,31295,25326,1.235687,17489,17186,1.017631,34675,1.214278,0.00394149
2026-01-15 16:33:36,2026-01-15,QQQ,2026-01-23,8,69018,63845,1.081024,110057,117723,0.934881,227780,1.156323,0.02378621
2026-01-15 16:33:36,2026-01-15,QQQ,2026-01-26,11,2950,2923,1.009237,7536,5763,1.307652,13299,0.771793,0.00194252
2026-01-15 16:33:36,2026-01-15,QQQ,2026-01-30,15,59001,41896,1.408273,330526,190277,1.737078,520803,0.810714,0.10105229
2026-01-15 16:33:36,2026-01-15,QQQ,2026-02-06,22,39460,12848,3.071295,99725,61212,1.629174,160937,1.885185,0.02928712
